,FIPS,State,County,total_votes,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unemployed
432,32001,NV,Churchill,12503,9088,2966,245,4,24022,12177,11845,3219,17752,577,961,577,48,17384,46914,3315,3675,7279,4876,4804,3844,3219,19530,2570,24,625,504,769,20.1,9228,16743,5357,1850,48,7.8,187372
433,13055,GA,Chattooga,10050,8064,1854,976,29,24880,12730,12150,1169,20675,2538,25,100,0,18729,35718,5598,7340,5747,3782,4702,3060,7588,20800,2811,124,547,199,423,25.2,8839,19954,3309,1543,100,9.5,236360
434,20113,KS,McPherson,13868,9562,3977,472,7,28792,14238,14554,1152,26431,288,144,144,0,21845,56946,2188,2246,10394,4923,5298,2850,5327,23955,2131,29,1411,317,950,13.5,15238,22487,3628,2534,144,2.5,71980
435,35031,NM,McKinley,26406,7782,17969,4752,262,72849,35209,37640,10272,6629,364,53398,656,0,50540,30336,27318,33292,21418,18285,16027,7066,10053,54491,7066,437,2695,1166,6921,22.1,23207,41451,26007,5391,0,16.1,1172869
436,46017,SD,Buffalo,549,183,352,272,4,2048,984,1064,49,242,8,1665,0,41,1259,30500,829,913,645,614,444,197,147,1552,231,0,143,10,109,13,594,797,1182,45,25,17,34816
437,38005,ND,Benson,1961,1094,822,557,10,6875,3520,3355,62,2839,0,3829,7,0,4506,44500,2289,3492,2509,1382,1258,942,777,5081,626,41,371,103,653,18,2432,4063,1801,1011,0,6.5,44688
438,19073,IA,Greene,5054,3221,1768,209,0,9046,4409,4637,244,8603,9,9,118,0,6891,52529,905,1058,3229,1502,1746,941,1637,7083,805,18,389,190,561,19.6,4506,6893,1221,914,18,6.2,56085
439,13315,GA,Wilcox,3281,2403,862,259,25,8896,5248,3648,383,5204,3140,27,0,0,7025,35457,1939,2722,2553,2117,1468,1423,1334,7615,721,44,151,98,276,27.2,2392,5427,2553,898,9,7.6,67610
440,55023,WI,Crawford,8695,4620,3953,389,1,16313,8469,7844,212,15481,277,65,82,0,12833,47331,2121,3165,4421,2920,3377,1941,3654,13328,1436,65,522,228,734,22.6,7530,12659,2316,1321,16,4.1,66883
441,21067,KY,Fayette,152664,58845,90566,11369,93,315109,154530,160579,22058,226248,45061,630,11344,0,230651,53013,58610,72160,135182,57035,72160,18907,31826,247991,29305,6302,11974,5987,13865,20.9,162280,249881,48842,15755,315,6.1,1922165
442,8031,CO,Denver,393529,71543,313090,19878,452,678467,339400,339067,206932,363658,62419,3392,23746,678,475990,60098,102449,154690,312773,113982,145870,53599,52242,474248,54956,46136,29853,22389,51563,25.3,374043,566520,73274,37316,678,4.5,3053102
443,21191,KY,Pendleton,6925,5515,1322,142,0,14530,7307,7223,87,14036,131,15,58,0,11208,49706,2194,3240,3574,1874,3226,2165,3691,12845,1191,58,29,0,421,33.9,6415,11886,1802,843,0,4.8,69744
444,47045,TN,Dyer,15074,11766,3157,2398,38,37751,18201,19550,1246,30314,5059,151,264,38,28280,44386,6833,9098,11514,6871,7399,3133,8871,33636,2454,0,264,378,1019,20.2,16155,29484,5663,2643,0,7.3,275582
445,39157,OH,Tuscarawas,42785,29519,12643,1576,38,92531,45562,46969,2221,87904,740,278,370,0,70324,49460,12769,18599,23966,15638,20172,9161,23595,78374,7773,185,1666,1758,2776,22.3,43425,79947,7865,4441,278,4.9,453402
446,48493,TX,Wilson,25006,18457,6350,1004,28,47205,23703,23502,18504,27237,614,94,142,47,34562,71942,4815,6042,15011,7742,11896,6703,5853,38094,5098,0,519,472,3021,34.5,21002,34601,8497,4060,47,6,283230
